"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"XAV939","bivanib/BI2536","tankyrase 1/2","Plk1",6,0.701159286364206,97,8
"ZM336372","bivanib/BI2536","Raf (c-Raf)","Plk1",6,0.701159286364206,43,8
"BMS536924","everolimus","Multi (IGFR1R, InR, FAK)","mTor",6,1.68818879518028,44,41
"PIM-1 4a","fingolimod","PIM","Sphingosine-1-phosphate receptor agonist",6,-0.672218045202539,36,1
"TCS401","fingolimod","PTP-1B","Sphingosine-1-phosphate receptor agonist",6,-0.672218045202539,107,1
"U73122","fingolimod","PLC","Sphingosine-1-phosphate receptor agonist",6,-0.672218045202539,20,1
"MK1775","fludarabine","Wee-1","Antimetabolite (purine)",6,1.20275663849774,37,11
"YM155","fludarabine","survivin/BIRC5","Antimetabolite (purine)",6,0.661054070953757,7,11
"decitabine","fludarabine","methyl transferase inhibitor","Antimetabolite (purine)",6,1.20275663849774,69,11
"vatalanib/PTK787","fludarabine","VEFGR (1-4), c-kit, PDGFb","Antimetabolite (purine)",6,1.02963228433202,22,11
"SrcI1","lapatinib","Src","EGFR, HER2, ErbB4",6,0.829668003930357,18,13
"Bortezomib","ruxolitinib","proteasome","JAK1/2, Tyk2",6,-0.344138984805134,2,93
"Bortezomib","selumetinib/AZD6244","proteasome","MEK",6,-0.344138984805134,2,32
"OSI906","selumetinib/AZD6244","IGF1R","MEK",6,2.03888825199846,57,32
"STA4783","selumetinib/AZD6244","HSP70 inducer","MEK",6,0.398207164898766,6,32
"SU6656","stibogluconate","Lyn/Src/Fyn/Yes","SHP1/2/PTP1B",6,2.06763948799621,52,54
"SNS-032","sunitinib","CDK2/7/9","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",6,1.38668191888105,38,42
"Tanespimycin/17-AAG","sunitinib","HSP90","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",6,1.7470260097777,19,42
"lapatinib","sunitinib","EGFR, HER2, ErbB4","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",6,0.829668003930357,13,42
"vasastrol","tipifarnib","KSP (Eg5, kinesin-5)","FTI",6,2.47019672362054,67,72
"bivanib/BI2536","vatalanib/PTK787","Plk1","VEFGR (1-4), c-kit, PDGFb",6,0.701159286364206,8,22
"IPA3","vincristine","PAK","microtubule agent (vinca alkyloid)",6,0.207653860789,88,5
"nilotinib","vincristine","Multi (BCR-Abl, PDGFR, c-kit)","microtubule agent (vinca alkyloid)",6,0.207653860789,66,5
"STA4783","vorinostat/SAHA","HSP70 inducer","HDAC",6,0.398207164898766,6,96
"Nutlin-3","ABT263","MDM2/p53","Bcl-2, Bcl-x, Bcl-xl",5,-0.0319588953578314,95,4
"SNS314","ABT263","Aurora (pan)","Bcl-2, Bcl-x, Bcl-xl",5,-0.0319588953578314,55,4
"SrcI1","ABT263","Src","Bcl-2, Bcl-x, Bcl-xl",5,-0.0319588953578314,18,4
"ZM336372","ABT263","Raf (c-Raf)","Bcl-2, Bcl-x, Bcl-xl",5,-0.0319588953578314,43,4
"GW9662","AZD7762","PPARg","Chk1/2",5,0.92425789284409,58,27
"PD173074","AZD7762","FGFR1/3","Chk1/2",5,0.92425789284409,91,27
"STA4783","BI78D3","HSP70 inducer","JNK",5,0.114152720604313,6,99
"Wnti","BI78D3","bCatenin","JNK",5,-0.183295652581614,3,99
"U73122","Bexarotene","PLC","RXR",5,1.20412141626697,20,29
"FH535","Bortezomib","bCatenin","proteasome",5,-0.545356861166606,23,2
"PD173074","Bortezomib","FGFR1/3","proteasome",5,-0.545356861166606,91,2
"SNS314","Bortezomib","Aurora (pan)","proteasome",5,-0.545356861166606,55,2
"XL147","Bortezomib","PI3K","proteasome",5,-0.545356861166606,61,2
"AS252424","CHIR265","PI3K (gamma)","Raf, VEGFR",5,0.860736724742561,62,14
"BMS536924","CHIR265","Multi (IGFR1R, InR, FAK)","Raf, VEGFR",5,0.860736724742561,44,14
"NVP-TAE684","CHIR265","ALK","Raf, VEGFR",5,0.860736724742561,40,14
"C75","CX4945","Fatty Acid Synthase","CK2a",5,1.16104767687117,47,49
"OSU03012","CX4945","PDK1","CK2a",5,0.440752961919136,9,49
"fludarabine","CX4945","Antimetabolite (purine)","CK2a",5,0.81039395459756,11,49
"lapatinib","Crizotinib/PF2341066","EGFR, HER2, ErbB4","Multi (c-kit, ALK, MET)",5,0.586450260312417,13,103
"STA4783","Darinaparsin","HSP70 inducer","arsenic",5,0.114152720604313,6,60
"AS252424","Docetaxel","PI3K (gamma)","microtubule agent (taxane)",5,0.623583190146451,62,10
"Dorsomorphin","Docetaxel","AMPK/BMP antagonist","microtubule agent (taxane)",5,0.623583190146451,39,10
"Embelin","Docetaxel","XIAP","microtubule agent (taxane)",5,0.623583190146451,25,10
"GW441756","Docetaxel","TrkA","microtubule agent (taxane)",5,0.623583190146451,82,10
"JNK5a","Docetaxel","JNK","microtubule agent (taxane)",5,0.623583190146451,86,10
"KU55933","Docetaxel","ATM","microtubule agent (taxane)",5,0.623583190146451,46,10
"PF04217903","Docetaxel","MET","microtubule agent (taxane)",5,0.623583190146451,87,10
"erlotinib","Docetaxel","EGFR","microtubule agent (taxane)",5,0.623583190146451,65,10
"lapatinib","Docetaxel","EGFR, HER2, ErbB4","microtubule agent (taxane)",5,0.586450260312417,13,10
"vorinostat/SAHA","Docetaxel","HDAC","microtubule agent (taxane)",5,0.623583190146451,96,10
"GSK650394","Dovitinib/CHIR-258","SGK","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",5,1.33905155936419,94,35
"Darinaparsin","FK866","arsenic","NAMPRT",5,0.671823764626108,60,12
"sunitinib","FK866","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)","NAMPRT",5,0.671823764626108,42,12
"Wnti","GW0742","bCatenin","PPARd, agonist",5,-0.183295652581614,3,63
"QS11","HIF-1i","ARFGAP","HIFa",5,1.06456262279383,28,30
"T0901317","IMD0354","LXR","IKK",5,1.47822231757163,56,108
"fingolimod","IMD0354","Sphingosine-1-phosphate receptor agonist","IKK",5,-0.826900477109359,1,108
"Wnti","Indole-3-carbinol","bCatenin","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",5,-0.183295652581614,3,89
"STA4783","JNK5a","HSP70 inducer","JNK",5,0.114152720604313,6,86
"Wnti","Lestaurtinib","bCatenin","Multi (Flt2, TrkA, RET, JAK2)",5,-0.183295652581614,3,101
"Embelin","Midostaurin/PKC412","XIAP","Multi (FLT3, KIT, etc., broad spectrum)",5,1.01121610731694,25,15
"Wnti","Midostaurin/PKC412","bCatenin","Multi (FLT3, KIT, etc., broad spectrum)",5,-0.183295652581614,3,15
"pioglitazone","Midostaurin/PKC412","PPARg, agonist","Multi (FLT3, KIT, etc., broad spectrum)",5,1.01121610731694,53,15
"SrcI1","NVP-BEZ235","Src","PI3K/TORC1/TORC2 dual specificity",5,0.967790536048607,18,78
"SNS-032","Nutlin-3","CDK2/7/9","MDM2/p53",5,1.07431357083837,38,95
"AS252424","OSU03012","PI3K (gamma)","PDK1",5,0.440752961919136,62,9
"GW441756","OSU03012","TrkA","PDK1",5,0.440752961919136,82,9
"pioglitazone","OSU03012","PPARg, agonist","PDK1",5,0.440752961919136,53,9
"Bexarotene","PF562271","RXR","FAK1/2",5,1.20412141626697,29,64
"CHIR265","PF562271","Raf, VEGFR","FAK1/2",5,0.860736724742561,14,64
"STA4783","PF562271","HSP70 inducer","FAK1/2",5,0.114152720604313,6,64
"YM155","PLX4720","survivin/BIRC5","Raf (BRafV600E)",5,0.389004895599711,7,79
"GW2580","Pazopanib","CSF1R/fms","Multi (VEGFR2, FLT1, FLT4)",5,2.07476404054825,71,102
"Wnti","Pazopanib","bCatenin","Multi (VEGFR2, FLT1, FLT4)",5,-0.183295652581614,3,102
"lapatinib","Pazopanib","EGFR, HER2, ErbB4","Multi (VEGFR2, FLT1, FLT4)",5,0.586450260312417,13,102
"Tamatinib/R406","RKI983","Syk","ROCK",5,0.930763357989845,17,16
"XL147","RKI983","PI3K","ROCK",5,0.953692940725913,61,16
"everolimus","RKI983","mTor","ROCK",5,0.953692940725913,41,16
"fludarabine","RKI983","Antimetabolite (purine)","ROCK",5,0.81039395459756,11,16
"Wnti","SNS-032","bCatenin","CDK2/7/9",5,-0.183295652581614,3,38
"A769662","STA4783","AMPK agonist","HSP70 inducer",5,0.114152720604313,76,6
"PD173074","STA4783","FGFR1/3","HSP70 inducer",5,0.114152720604313,91,6
"SrcI1","STA4783","Src","HSP70 inducer",5,0.114152720604313,18,6
"L779450","Tamatinib/R406","Raf","Syk",5,0.930763357989845,51,17
"Midostaurin/PKC412","Tamatinib/R406","Multi (FLT3, KIT, etc., broad spectrum)","Syk",5,0.930763357989845,15,17
"OSU03012","Tamatinib/R406","PDK1","Syk",5,0.440752961919136,9,17
"vasastrol","Tamatinib/R406","KSP (Eg5, kinesin-5)","Syk",5,0.930763357989845,67,17
"BID1870","Tanespimycin/17-AAG","RSK (RSK1/2/3/5/, PLK1, ARKB)","HSP90",5,1.10516644990418,45,19
"C75","Tanespimycin/17-AAG","Fatty Acid Synthase","HSP90",5,1.16104767687117,47,19
"tipifarnib","Tanespimycin/17-AAG","FTI","HSP90",5,1.66936930174517,72,19
"CHIR265","Tozasertib/VX680","Raf, VEGFR","Multi (AuroraABC, Abl, AblT351I, Flt-3)",5,0.860736724742561,14,92
"SrcI1","U73122","Src","PLC",5,0.967790536048607,18,20
"BMS536924","VX702","Multi (IGFR1R, InR, FAK)","p38",5,1.3172725711879,44,74
"Wnti","Vismodegib/GDC0449","bCatenin","Hh",5,-0.183295652581614,3,104
"dasatanib","XL147","Multi (BCR-Abl, EAR, PDGFR, c-kit)","PI3K",5,1.51452620031647,34,61
"AZD7762","YM155","Chk1/2","survivin/BIRC5",5,0.389004895599711,27,7
"Embelin","YM155","XIAP","survivin/BIRC5",5,0.389004895599711,25,7
"SNS-032","YM155","CDK2/7/9","survivin/BIRC5",5,0.389004895599711,38,7
"SrcI1","YM155","Src","survivin/BIRC5",5,0.389004895599711,18,7
"ZM336372","YM155","Raf (c-Raf)","survivin/BIRC5",5,0.389004895599711,43,7
"nilutamide","YM155","androgen receptor","survivin/BIRC5",5,0.389004895599711,77,7
"Dorsomorphin","bivanib/BI2536","AMPK/BMP antagonist","Plk1",5,0.422259495877328,39,8
"EX527","bivanib/BI2536","SIRT1","Plk1",5,0.422259495877328,100,8
"L779450","bivanib/BI2536","Raf","Plk1",5,0.422259495877328,51,8
"FH535","cisplatin","bCatenin","alkylating agent (platinum)",5,0.618232592526097,23,21
"fludarabine","cisplatin","Antimetabolite (purine)","alkylating agent (platinum)",5,0.618232592526097,11,21
"KU0063794","dasatanib","mTOR kinase","Multi (BCR-Abl, EAR, PDGFR, c-kit)",5,1.53440598065596,83,34
"Wnti","dasatanib","bCatenin","Multi (BCR-Abl, EAR, PDGFR, c-kit)",5,-0.183295652581614,3,34
"Wnti","decitabine","bCatenin","methyl transferase inhibitor",5,-0.183295652581614,3,69
"U73122","erlotinib","PLC","EGFR",5,1.3218368837541,20,65
"Bortezomib","etoposide","proteasome","topoisomerase inhibitors (Type II, podophyllotoxin)",5,-0.545356861166606,2,105
"MK2206","etoposide","Akt","topoisomerase inhibitors (Type II, podophyllotoxin)",5,1.74442758632579,59,105
"CX4945","fingolimod","CK2a","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,49,1
"MK2206","fingolimod","Akt","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,59,1
"PF562271","fingolimod","FAK1/2","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,64,1
"QS11","fingolimod","ARFGAP","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,28,1
"Veliparib/ABT888","fingolimod","PARP","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,81,1
"cisplatin","fingolimod","alkylating agent (platinum)","Sphingosine-1-phosphate receptor agonist",5,-0.826900477109359,21,1
"A769662","fludarabine","AMPK agonist","Antimetabolite (purine)",5,0.81039395459756,76,11
"BMS536924","fludarabine","Multi (IGFR1R, InR, FAK)","Antimetabolite (purine)",5,0.81039395459756,44,11
"Dorsomorphin","fludarabine","AMPK/BMP antagonist","Antimetabolite (purine)",5,0.81039395459756,39,11
"GSK0660","fludarabine","PPARd, ant","Antimetabolite (purine)",5,0.81039395459756,68,11
"Midostaurin/PKC412","fludarabine","Multi (FLT3, KIT, etc., broad spectrum)","Antimetabolite (purine)",5,0.81039395459756,15,11
"GW2580","lapatinib","CSF1R/fms","EGFR, HER2, ErbB4",5,0.586450260312417,71,13
"cediranib/AZD2171","lapatinib","VEGFR (pan)","EGFR, HER2, ErbB4",5,0.586450260312417,73,13
"Wnti","lenalidomide","bCatenin","TNFa",5,-0.183295652581614,3,98
"SrcI1","palbociclib/PD332991","Src","CDK4/6",5,0.967790536048607,18,85
"U73122","pioglitazone","PLC","PPARg, agonist",5,1.24363424526351,20,53
"FK866","ruxolitinib","NAMPRT","JAK1/2, Tyk2",5,0.671823764626108,12,93
"U73122","ruxolitinib","PLC","JAK1/2, Tyk2",5,1.3218368837541,20,93
"Bexarotene","selumetinib/AZD6244","RXR","MEK",5,1.20412141626697,29,32
"MK2206","selumetinib/AZD6244","Akt","MEK",5,1.56151179037081,59,32
"HIF-1i","sorafenib","HIFa","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",5,1.06456262279383,30,26
"Embelin","stibogluconate","XIAP","SHP1/2/PTP1B",5,1.10139615226978,25,54
"dasatanib","stibogluconate","Multi (BCR-Abl, EAR, PDGFR, c-kit)","SHP1/2/PTP1B",5,1.68452783016462,34,54
"lapatinib","stibogluconate","EGFR, HER2, ErbB4","SHP1/2/PTP1B",5,0.586450260312417,13,54
"GW2580","sunitinib","CSF1R/fms","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",5,1.35920073374821,71,42
"everolimus","sunitinib","mTor","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",5,1.35920073374821,41,42
"GW0742","vincristine","PPARd, agonist","microtubule agent (vinca alkyloid)",5,0.0393283827251893,63,5
"NVP-TAE684","vincristine","ALK","microtubule agent (vinca alkyloid)",5,0.0393283827251893,40,5
"PIM-1 4a","vincristine","PIM","microtubule agent (vinca alkyloid)",5,0.0393283827251893,36,5
"SNS314","vincristine","Aurora (pan)","microtubule agent (vinca alkyloid)",5,0.0393283827251893,55,5
"tipifarnib","vincristine","FTI","microtubule agent (vinca alkyloid)",5,0.0393283827251893,72,5
"AZD7762","ABT263","Chk1/2","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,27,4
"Crizotinib/PF2341066","ABT263","Multi (c-kit, ALK, MET)","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,103,4
"Dorsomorphin","ABT263","AMPK/BMP antagonist","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,39,4
"GW9662","ABT263","PPARg","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,58,4
"PF562271","ABT263","FAK1/2","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,64,4
"Tamatinib/R406","ABT263","Syk","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,17,4
"U73122","ABT263","PLC","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,20,4
"VX702","ABT263","p38","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,74,4
"cisplatin","ABT263","alkylating agent (platinum)","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,21,4
"erlotinib","ABT263","EGFR","Bcl-2, Bcl-x, Bcl-xl",4,-0.221936773318274,65,4
"Wnti","AZD7762","bCatenin","Chk1/2",4,-0.358408463530121,3,27
"Bortezomib","BI78D3","proteasome","JNK",4,-0.746574737528078,2,99
"Midostaurin/PKC412","Bexarotene","Multi (FLT3, KIT, etc., broad spectrum)","RXR",4,0.650549029040566,15,29
"T0901317","Bexarotene","LXR","RXR",4,0.827393370826721,56,29
"YM155","Bexarotene","survivin/BIRC5","RXR",4,0.116955720245665,7,29
"GW2580","Bortezomib","CSF1R/fms","proteasome",4,-0.746574737528078,71,2
"NVP-TAE684","Bortezomib","ALK","proteasome",4,-0.746574737528078,40,2
"SU6656","Bortezomib","Lyn/Src/Fyn/Yes","proteasome",4,-0.746574737528078,52,2
"Tanespimycin/17-AAG","Bortezomib","HSP90","proteasome",4,-0.746574737528078,19,2
"tipifarnib","Bortezomib","FTI","proteasome",4,-0.746574737528078,72,2
"FH535","CHIR265","bCatenin","Raf, VEGFR",4,0.522138086700451,23,14
"GW0742","CHIR265","PPARd, agonist","Raf, VEGFR",4,0.522138086700451,63,14
"SNS314","CHIR265","Aurora (pan)","Raf, VEGFR",4,0.522138086700451,55,14
"nilutamide","CHIR265","androgen receptor","Raf, VEGFR",4,0.522138086700451,77,14
"SU6656","CX4945","Lyn/Src/Fyn/Yes","CK2a",4,1.17555309599785,52,49
"U73122","CX4945","PLC","CK2a",4,0.881224589169399,20,49
"ZM336372","CX4945","Raf (c-Raf)","CK2a",4,0.886792294794166,43,49
"Wnti","Darinaparsin","bCatenin","arsenic",4,-0.358408463530121,3,60
"bivanib/BI2536","Darinaparsin","Plk1","arsenic",4,0.143359705390451,8,60
"BID1870","Docetaxel","RSK (RSK1/2/3/5/, PLK1, ARKB)","microtubule agent (taxane)",4,0.27786608472847,45,10
"BMS536924","Docetaxel","Multi (IGFR1R, InR, FAK)","microtubule agent (taxane)",4,0.27786608472847,44,10
"LSN415169","Docetaxel","gamma secretase","microtubule agent (taxane)",4,0.27786608472847,84,10
"SNS-032","Docetaxel","CDK2/7/9","microtubule agent (taxane)",4,0.27786608472847,38,10
"TCS401","Docetaxel","PTP-1B","microtubule agent (taxane)",4,0.27786608472847,107,10
"U73122","Docetaxel","PLC","microtubule agent (taxane)",4,0.27786608472847,20,10
"Veliparib/ABT888","Docetaxel","PARP","microtubule agent (taxane)",4,0.27786608472847,81,10
"dasatanib","Docetaxel","Multi (BCR-Abl, EAR, PDGFR, c-kit)","microtubule agent (taxane)",4,0.27786608472847,34,10
"fludarabine","Docetaxel","Antimetabolite (purine)","microtubule agent (taxane)",4,0.27786608472847,11,10
"sorafenib","Docetaxel","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","microtubule agent (taxane)",4,0.27786608472847,26,10
"stibogluconate","Docetaxel","SHP1/2/PTP1B","microtubule agent (taxane)",4,0.27786608472847,54,10
"temozolomide","Docetaxel","alkylating agent (tetrazine)","microtubule agent (taxane)",4,0.27786608472847,75,10
"PF04217903","Dovitinib/CHIR-258","MET","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",4,0.946507677577972,87,35
"sorafenib","Dovitinib/CHIR-258","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",4,0.738495200674668,26,35
"fludarabine","ENMD2076","Antimetabolite (purine)","Aurora A, FLT3, c-KIT, FGFR1/3",4,0.418031270697384,11,106
"KU55933","Enzastaurin","ATM","PKCbeta",4,0.783480857250793,46,31
"Tamatinib/R406","Enzastaurin","Syk","PKCbeta",4,0.599893991528338,17,31
"vasastrol","Enzastaurin","KSP (Eg5, kinesin-5)","PKCbeta",4,0.878867225288923,67,31
"AZD7762","FK866","Chk1/2","NAMPRT",4,0.3633038383815,27,12
"ENMD2076","FK866","Aurora A, FLT3, c-KIT, FGFR1/3","NAMPRT",4,0.3633038383815,106,12
"Enzastaurin","FK866","PKCbeta","NAMPRT",4,0.3633038383815,31,12
"SrcI1","FK866","Src","NAMPRT",4,0.3633038383815,18,12
"U73122","FK866","PLC","NAMPRT",4,0.3633038383815,20,12
"XL147","FK866","PI3K","NAMPRT",4,0.3633038383815,61,12
"nilotinib","FK866","Multi (BCR-Abl, PDGFR, c-kit)","NAMPRT",4,0.3633038383815,66,12
"Embelin","GW441756","XIAP","TrkA",4,0.748553672351019,25,82
"Dorsomorphin","GW9662","AMPK/BMP antagonist","PPARg",4,0.742943697067326,39,58
"PIM-1 4a","IMD0354","PIM","IKK",4,0.552361274501856,36,108
"STA4783","IMD0354","HSP70 inducer","IKK",4,-0.16990172369014,6,108
"sorafenib","IMD0354","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","IKK",4,0.738495200674668,26,108
"U73122","Indole-3-carbinol","PLC","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",4,0.881224589169399,20,89
"C75","LFM-A13","Fatty Acid Synthase","BTK, Plk",4,0.83583275167427,47,90
"Bortezomib","MK2206","proteasome","Akt",4,-0.746574737528078,2,59
"OSU03012","Midostaurin/PKC412","PDK1","Multi (FLT3, KIT, etc., broad spectrum)",4,0.185830978538879,9,15
"SU6656","Midostaurin/PKC412","Lyn/Src/Fyn/Yes","Multi (FLT3, KIT, etc., broad spectrum)",4,0.650549029040566,52,15
"XAV939","Midostaurin/PKC412","tankyrase 1/2","Multi (FLT3, KIT, etc., broad spectrum)",4,0.650549029040566,97,15
"YM155","Nutlin-3","survivin/BIRC5","MDM2/p53",4,0.116955720245665,7,95
"A769662","OSU03012","AMPK agonist","PDK1",4,0.185830978538879,76,9
"GSK0660","OSU03012","PPARd, ant","PDK1",4,0.185830978538879,68,9
"L779450","OSU03012","Raf","PDK1",4,0.185830978538879,51,9
"STA4783","OSU03012","HSP70 inducer","PDK1",4,-0.16990172369014,6,9
"cediranib/AZD2171","OSU03012","VEGFR (pan)","PDK1",4,0.185830978538879,73,9
"FH535","PF562271","bCatenin","FAK1/2",4,0.836946368278083,23,64
"dasatanib","PF562271","Multi (BCR-Abl, EAR, PDGFR, c-kit)","FAK1/2",4,1.18245407577015,34,64
"Tamatinib/R406","PLX4720","Syk","Raf (BRafV600E)",4,0.599893991528338,17,79
"IPA3","Perifosine","PAK","Akt/PI3K",4,0.625006778950843,88,24
"BID1870","QS11","RSK (RSK1/2/3/5/, PLK1, ARKB)","ARFGAP",4,0.794791620141064,45,28
"C75","QS11","Fatty Acid Synthase","ARFGAP",4,0.83583275167427,47,28
"Embelin","RKI983","XIAP","ROCK",4,0.614672526580821,25,16
"GW441756","RKI983","TrkA","ROCK",4,0.614672526580821,82,16
"OSI906","RKI983","IGF1R","ROCK",4,0.614672526580821,57,16
"PLX4720","RKI983","Raf (BRafV600E)","ROCK",4,0.614672526580821,79,16
"Tie2i","RKI983","TIE_2","ROCK",4,0.614672526580821,48,16
"U73122","RKI983","PLC","ROCK",4,0.614672526580821,20,16
"YM155","RKI983","survivin/BIRC5","ROCK",4,0.116955720245665,7,16
"GSK0660","SNS314","PPARd, ant","Aurora (pan)",4,1.18771886622891,68,55
"JZL184","SNS314","MAGL","Aurora (pan)",4,0.632319377856459,33,55
"Tie2i","SNS314","TIE_2","Aurora (pan)",4,1.0251599104821,48,55
"Embelin","STA4783","XIAP","HSP70 inducer",4,-0.16990172369014,25,6
"PIM-1 4a","STA4783","PIM","HSP70 inducer",4,-0.16990172369014,36,6
"JZL184","SU6656","MAGL","Lyn/Src/Fyn/Yes",4,0.632319377856459,33,52
"JZL184","SrcI1","MAGL","Src",4,0.632319377856459,33,18
"QS11","SrcI1","ARFGAP","Src",4,0.635888012467835,28,18
"QS11","T0901317","ARFGAP","LXR",4,0.947861170757684,28,56
"SrcI1","T0901317","Src","LXR",4,0.635888012467835,18,56
"JNK5a","Tamatinib/R406","JNK","Syk",4,0.599893991528338,86,17
"AZD7762","Tanespimycin/17-AAG","Chk1/2","HSP90",4,0.634241486585094,27,19
"Embelin","Tanespimycin/17-AAG","XIAP","HSP90",4,0.748553672351019,25,19
"GSK650394","Tanespimycin/17-AAG","SGK","HSP90",4,1.10589133554096,94,19
"STA4783","Tanespimycin/17-AAG","HSP70 inducer","HSP90",4,-0.16990172369014,6,19
"cediranib/AZD2171","Tanespimycin/17-AAG","VEGFR (pan)","HSP90",4,1.10589133554096,73,19
"erlotinib","Tanespimycin/17-AAG","EGFR","HSP90",4,1.03788853074512,65,19
"vatalanib/PTK787","Tanespimycin/17-AAG","VEFGR (1-4), c-kit, PDGFb","HSP90",4,0.523100539856036,22,19
"Bortezomib","Tideglusib/TZDZ-8","proteasome","GSK3",4,-0.746574737528078,2,80
"ABT263","Tozasertib/VX680","Bcl-2, Bcl-x, Bcl-xl","Multi (AuroraABC, Abl, AblT351I, Flt-3)",4,-0.221936773318274,4,92
"Wnti","U73122","bCatenin","PLC",4,-0.358408463530121,3,20
"GW9662","VX702","PPARg","p38",4,1.19522592576121,58,74
"EX527","Veliparib/ABT888","SIRT1","PARP",4,1.41302160110867,100,81
"FH535","Wnti","bCatenin","bCatenin",4,-0.358408463530121,23,3
"vasastrol","Wnti","KSP (Eg5, kinesin-5)","bCatenin",4,-0.358408463530121,67,3
"Wnti","XL147","bCatenin","PI3K",4,-0.358408463530121,3,61
"BID1870","YM155","RSK (RSK1/2/3/5/, PLK1, ARKB)","survivin/BIRC5",4,0.116955720245665,45,7
"GSK650394","YM155","SGK","survivin/BIRC5",4,0.116955720245665,94,7
"IPA3","YM155","PAK","survivin/BIRC5",4,0.116955720245665,88,7
"OSU03012","YM155","PDK1","survivin/BIRC5",4,0.116955720245665,9,7
"SU6656","YM155","Lyn/Src/Fyn/Yes","survivin/BIRC5",4,0.116955720245665,52,7
